"Source:","C:\Users\Sean\Documents\Projects\Crystal\Crystal.kicad_sch"
"Date:","11/9/2023 10:00:48 PM"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","47"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","MFG","PN"
"1","1","AIN1","Conn_01x06","Connector_Generic:Conn_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","","3M","929850-01-06-RA"
"2","2","BOOT1, RESET1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_SPST_B3U-3000P","~","","OMRON","B3U-3000P"
"3","3","C1, C2, C8","1uf","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","KEMET","C1206C105K4RACTU"
"4","1","C3","0.1uF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","KEMET","C1206C104K5RAC7210"
"5","3","C4, C5, C6","22uF","Motor Shield Adapter-rescue:CP1_Small-Device","Capacitor_SMD:CP_Elec_5x5.3","","","Wurth Electronik","865080542006"
"6","1","C7","22uF","Device:C_Polarized_Small_US","Capacitor_SMD:CP_Elec_5x5.3","~","","Wurth Electronik","865080542006"
"7","1","D1","SMAJ18CA","Diode:SMAJ18CA","Diode_SMD:D_SMA","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","","YAEGO","SMAJ18CA-AT/TR13"
"8","1","D2","Red","Device:LED","LED_SMD:LED_1206_3216Metric","https://www.mouser.com/datasheet/2/445/156120RS75300-1715573.pdf","","Wurth Elektronik ","156120RS75300"
"9","5","D3, D4, D5, D7, D8","3.3v","Device:D_Zener_Small","Diode_SMD:D_SOD-123","~","","Diodes Incorporated","BZT52C3V3-7-F"
"10","1","D6","PMEG2005EGWX","Device:D_Schottky_Small","Diode_SMD:D_SOD-123","~","","Nexperia","PMEG2005EGWX"
"11","1","D9","Blue","Device:LED_Small","LED_SMD:LED_1206_3216Metric","~","","Wurth Elektronik ","156120BS75300"
"12","1","GPIO1","Conn_01x08_Female","ESP32-C3 WIFI-rescue:Conn_01x08_Female-Connector","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","","","3M","929850-01-08-RA"
"13","1","J1","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","~","","Molex","105017-0001"
"14","1","L1","4.7uH","Motor Shield Adapter-rescue:INDUCTOR-pspice","Inductor_SMD:L_1008_2520Metric_Pad1.43x2.20mm_HandSolder","https://www.mouser.com/datasheet/2/281/1/JELF243B_0025-1634213.pdf","","Murata Electronics","LQM2HPN4R7MGCL "
"15","3","R1, R5, R6","47k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","YAEGO","RC1206FR-0747KL"
"16","2","R2, R3","10k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","YAEGO","RC1206FR-1310KL"
"17","1","R4","1k","Device:R_Small","Resistor_SMD:R_1206_3216Metric","~","","YAEGO","RC1206FR-071KL"
"18","5","R7, R9, R11, R13, R15","11k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","YAEGO","RC1206FR-0711KL"
"19","5","R8, R10, R12, R14, R16","22k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","YAEGO","RC1206FR-0722KL"
"20","1","R17","1k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","YAEGO","RC1206FR-0747KL"
"21","1","TTY1","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","","3M","929850-01-04-RA"
"22","1","U1","AP63205WU","Regulator_Switching:AP63205WU","Package_TO_SOT_SMD:TSOT-23-6","https://www.mouser.com/datasheet/2/115/DIOD_S_A0007089856_1-2542907.pdf","","Diodes Incorporated","AP63205WU-7 "
"23","1","U2","NCP1117-3.3_SOT223","Regulator_Linear:NCP1117-3.3_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","","ONSemi","NCP1117ST33T3G"
"24","1","U3","ESP32-C3-WROOM-02","Espressif:ESP32-C3-WROOM-02","Espressif:ESP32-C3-WROOM-02","https://www.espressif.com/sites/default/files/documentation/esp32-c3-wroom-02_datasheet_en.pdf","","Expressif","ESP32-C3-WROOM-02-N4"
"25","1","U4","TXS0102DCT","Logic_LevelTranslator:TXS0102DCT","Package_SO:SSOP-8_2.95x2.8mm_P0.65mm","http://www.ti.com/lit/gpn/txs0102","","Texas Insturments","TXS0102DCTT"
"26","1","U5","TXS0108EPW","Logic_LevelTranslator:TXS0108EPW","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","www.ti.com/lit/ds/symlink/txs0108e.pdf","","Texas Insturments","TXS0108EPWR"
"27","1","V1","Conn_01x02","Connector_Generic:Conn_01x02","Terminal_Wuerth_new:WR-TBL 2P","~","","Wurth Electronik","691322310002 "
